n	flux_max_size
1	nan
5	3
3	1
7	3
7	3
33	8
33	9
36	7
36	8
44	6
44	6
45	6
45	6
45	6
49	6
49	6
51	6
51	6
53	6
53	6
57	7
52	7
6	2
57	7
63	7
61	7
62	8
3	1
62	8
2	1
62	8
13	5
62	8
13	4
62	8
13	5
62	8
14	5
62	8
2	1
62	8
15	7
62	8
14	7
62	8
22	7
62	8
23	7
62	8
26	6
2	1
62	8
26	6
62	8
26	6
3	1
62	8
26	6
2	1
62	8
26	6
24	5
62	8
29	6
24	5
62	8
26	6
24	5
62	8
26	6
25	6
62	8
26	6
20	5
62	8
26	6
20	5
62	8
26	6
20	5
62	8
26	6
33	6
62	8
26	6
33	6
62	8
26	6
33	6
37	7
26	6
26	6
33	6
62	8
26	6
33	6
37	7
26	6
26	6
33	6
37	7
26	6
26	6
12	4
22	6
37	7
26	6
26	6
33	6
37	7
26	6
26	6
34	8
